title,price,rating,review_count,image_url,product_url,category
"MSI CreatorPro X17 HX, Intel 13th Gen. i9-13980HX,44CM UHD 144Hz Mini LED Creator Laptop (64GB/4TB NVMe SSD/Windows 11 Pro/NVIDIA RTX™ 3500 Ada, GDDR6 12GB/Core Black/3.3Kg), A13VKS-249IN","4,94,490.",3.5,11 ratings,https://m.media-amazon.com/images/I/81AzKQWn5ZL._SL1500_.jpg,https://www.amazon.in/MSI-CreatorPro-i9-13980HX-Creator-A13VKS-249IN/dp/B0CD7GZD42,Price: High to Low
"Alienware m18 R2 Gaming Laptop, i9-14900HX, 64GB, 1TB SSD, NVIDIA®GeForce RTX™ 4090, 16GB GDDR6, 18""(45.72cm) QHD+CompfortView Plus, English US AlienFX RGB Backlit Keyboard, Dark Metallic Moon, 4.23kg","4,49,890.",,,https://m.media-amazon.com/images/I/711eTqJwAyL._SL1500_.jpg,https://www.amazon.in/Alienware-i9-14900HX-NVIDIA%C2%AEGeForce-CompfortView-Keyboard/dp/B0DNR4SYL5,Price: High to Low
"Dell Alienware x16 Gaming Laptop, AI Enabled Intel Core Ultra 9 185H Processor/32GB/1TB SSD/NVIDIA RTX 4080 12GB GDDR6/ 16""(40.64cm) QHD+ 240Hz, Win 11 + MSO'21 + McAfee 15 Month, Lunar Silver, 2.72kg","4,06,325.",5.0,2 ratings,https://m.media-amazon.com/images/I/71GCDWCXq8L._SL1500_.jpg,https://www.amazon.in/Dell-Alienware-Enabled-Processor-40-64cm/dp/B0DPM9RD1H,Price: High to Low
"HP ZBook Studio 12th Gen Intel Core i9-12900H 16 inch(40.6 cm) WQUXGA Display Creator Laptop 500 nits/32GB RAM/1TB SSD/NVIDIA GeForce RTX 3080 Ti 12GB Graphics/Win 11/MSO/B&O/FPR, G9 Workstation PC","3,92,934.",4.0,1 rating,https://m.media-amazon.com/images/I/716oJNJFLAL._SL1500_.jpg,https://www.amazon.in/HP-ZBook-Studio-G9-Workstation/dp/B0C1CMD5SH,Price: High to Low
"Alienware M18 Gaming Laptop QHD+ Display, Intel Core i7-13700HX, 16 GB DDR5 RAM, 1 TB SSD, NVIDIA GeForce RTX 4070 8 GB GDDR6, Windows 11 Home, 1 Year Premium Support, Dark Metallic Moon.","3,68,907.",4.7,14 ratings,https://m.media-amazon.com/images/I/71flbT060xL._SL1500_.jpg,https://www.amazon.in/Alienware-Display-i7-13700HX-GeForce-Metallic/dp/B0CGT4F3K8,Price: High to Low
"Dell XPS 9640 Laptop, AI Enabled Intel Core Ultra 9 185H, 32GB LPDDR5X & 1TB SSD, Win 11 + MSO'21, NVIDIA RTX 4060,8 GB GDDR6,16.3"" (41.4cm) UHD+ OLED Touch 400 nits, Backlit KB + FPR,Platinum, 2.13kg","3,66,490.",5.0,1 rating,https://m.media-amazon.com/images/I/61MmNc4mRLL._SL1080_.jpg,https://www.amazon.in/Dell-Enabled-LPDDR5X-Backlit-Platinum/dp/B0D4YQVTK1,Price: High to Low
"MSI Raider GE78 HX, Intel 14th Gen. i9-14900HX, 43.18CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4090, GDDR6 16GB/Core Black/3.1Kg), 14VIG-804IN","3,29,990.",3.2,5 ratings,https://m.media-amazon.com/images/I/71ZBYV+au1L._SL1500_.jpg,https://www.amazon.in/MSI-i9-14900HX-43-18CM-Windows-14VIG-804IN/dp/B0D1FSGSSD,Price: High to Low
"MSI Stealth 17 Studio, Intel 13th Gen. i9-13900H, 43CM FHD 144Hz Mini LED, HDR 1000 Gaming Laptop (64GB/2TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4080, 12GB GDDR6/Core Black/3.3Kg), A13VH-055IN","3,27,711.",2.8,7 ratings,https://m.media-amazon.com/images/I/71J1J8q04NL._SL1500_.jpg,https://www.amazon.in/MSI-Stealth-i9-13900H-Windows-A13VH-055IN/dp/B0BWK3TS1C,Price: High to Low
"Dell XPS 14 9440 Thin & Light Laptop, AI Enabled Processor Intel Core Ultra 7 155H, 32GB+1TB SSD, 16.3"" (41.40cm) UHD+OLED Display, Backlit KB+FPR, Win 11+MSO'24 & 15 Month McAfee, Platinum, 2.13kg","3,19,858.",,,https://m.media-amazon.com/images/I/81+cm2567YL._SL1500_.jpg,https://www.amazon.in/Dell-Enabled-Processor-41-40cm-Platinum/dp/B0DSFR8B4V,Price: High to Low
"MSI Stealth 16 Studio, Intel 13th Gen. i7-13700H, 41CM QHD+ 240Hz Gaming Laptop (32GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4070, 8GB GDDR6/Pure White/1.99Kg), A13VG-030IN","1,44,645.",4.0,,https://m.media-amazon.com/images/I/71vIbM3K3YL._SL1500_.jpg,https://www.amazon.in/MSI-Stealth-i7-13700H-Windows-A13VG-030IN/dp/B0BWK5QSGF,Price: High to Low
